Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19270505,0.29,0.14,0.19,0.97,0.86,-0.69,-0.01,0.25,0.8,0.15
19270506,-0.03,0.5,-0.24,0.84,0.24,0.1,-0.37,0.39,0.64,0.55
19270507,0.63,0.26,0.22,0.43,-0.09,0.23,-0.16,0.18,0.37,0.5
19270509,0.99,0.24,0.24,-0.71,0.26,0.06,0.5,1.11,0.18,0.32
19270510,-0.17,0.14,0.15,-0.18,-0.16,-0.13,-0.13,0.13,-0.15,-0.11
19270511,0.06,-0.29,-0.25,0.47,-0.84,0.38,-0.36,-0.04,0.06,-0.46
19270512,0,-0.08,-0.15,0.54,-0.4,-0.33,-0.49,0.17,-0.11,-0.26
19270513,0.38,0.7,0.72,0.02,1.02,0.13,0.78,0.69,0.94,0.44
19270514,0.4,-0.63,0.07,0.3,-0.09,0,0.33,-0.21,-0.04,-0.06
19270516,-0.46,-1.09,-0.91,-0.95,-1.1,-0.42,-1.09,-0.65,-0.65,-0.4
19270517,0.41,0.87,0.72,-0.13,0.6,0.43,0.29,0.25,0.92,0.56
19270518,0.92,1.38,0.67,-0.08,0.59,0.1,0.14,0.69,0.43,0.43
19270519,0.94,-0.07,0.17,-0.57,0.63,0.44,0.08,0.64,0.75,0.21
19270520,0.39,0.11,0.63,0.1,-0.4,0.14,1,0.33,1.04,0.74
19270521,0.37,0.14,0.44,0.32,0.33,-0.13,0.33,0.22,0.57,0.05
19270523,1.03,0.21,-0.32,-0.28,-0.18,0.94,-0.13,0.54,-0.07,0.1
19270524,-0.47,-0.59,0.03,0.32,-0.28,0.4,-0.71,0.08,-0.21,-0.1
19270525,0.14,0.85,0.38,-0.24,1.56,-0.45,0.39,-0.08,-0.25,-0.04
19270526,-0.24,-1.21,-0.39,1.23,0.38,-0.42,-0.37,-0.58,0.12,0.88
19270527,0.54,0.57,0.38,0.18,0.8,0.27,0.39,-0.43,0.63,0.67
19270528,-0.27,0.5,0.23,0.04,0.44,0.02,0.12,0.34,0.11,0.4
19270531,0.25,0.46,0.22,0,0.94,-0.05,-0.07,0.3,0.59,0.38
19270601,0.12,0.31,0.54,-0.16,0.97,0.22,0.21,-0.11,0.53,0.44
19270602,0.09,0.09,0.09,-0.29,0.61,0.36,0,0.43,0.79,-0.01
19270603,-0.77,-0.99,-1.07,-0.28,-1.11,-0.46,-1,0.33,-0.43,-1.33
19270604,0.15,0.76,0.46,0.3,0.5,-0.11,0.16,1.76,0.98,0.42
19270606,0.34,0.63,0.54,0.54,0.59,0.22,0.22,0.52,0.43,0.8
19270607,-0.2,0.28,-0.31,-0.01,-0.85,0.03,-0.12,-0.5,-0.88,-0.69
19270608,0.19,0.09,-0.01,1.53,-0.22,0.24,-0.04,0.48,-0.44,0.42
19270609,-0.1,0.25,-0.05,0.14,-0.25,-0.18,0.76,0.01,-0.24,-0.04
